data_dir                       :                            ../data/
output_dir                     :                             output/
data_name                      :                              Beauty
do_eval                        :                                   0
model_idx                      :                                   1
gpu_id                         :                                   0
no_cuda                        :                                   0
model_name                     :                              SASRec
hidden_size                    :                                 128
num_hidden_layers              :                                   2
num_attention_heads            :                                   2
hidden_act                     :                                gelu
attention_probs_dropout_prob   :                                 0.5
hidden_dropout_prob            :                                 0.5
initializer_range              :                                0.02
max_seq_length                 :                                  50
weight_decay                   :                                 0.0
lr                             :                               0.001
batch_size                     :                                 256
epochs                         :                                 500
patience                       :                                  10
log_freq                       :                                   1
seed                           :                                2024
star_test                      :                                 200
full_sort                      :                                   1
head_ratio                     :                                 0.2
cuda_condition                 :                                   1
data_file                      :                  ../data/Beauty.txt
item_size                      :                               57291
log_file                       :          output/SASRec-Beauty-1.txt
Namespace(attention_probs_dropout_prob=0.5, batch_size=256, cuda_condition=True, data_dir='../data/', data_file='../data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=500, full_sort=True, gpu_id='0', head_ratio=0.2, hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=128, initializer_range=0.02, item_size=57291, log_file='output/SASRec-Beauty-1.txt', log_freq=1, lr=0.001, max_seq_length=50, model_idx=1, model_name='SASRec', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/', patience=10, seed=2024, star_test=200, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '1.2304'}
{'epoch': 1, 'rec_avg_loss': '1.0368'}
{'epoch': 2, 'rec_avg_loss': '0.9138'}
{'epoch': 3, 'rec_avg_loss': '0.7961'}
{'epoch': 4, 'rec_avg_loss': '0.6931'}
{'epoch': 5, 'rec_avg_loss': '0.6078'}
{'epoch': 6, 'rec_avg_loss': '0.5388'}
{'epoch': 7, 'rec_avg_loss': '0.4825'}
{'epoch': 8, 'rec_avg_loss': '0.4363'}
{'epoch': 9, 'rec_avg_loss': '0.4010'}
{'epoch': 10, 'rec_avg_loss': '0.3710'}
{'epoch': 11, 'rec_avg_loss': '0.3482'}
{'epoch': 12, 'rec_avg_loss': '0.3275'}
{'epoch': 13, 'rec_avg_loss': '0.3094'}
{'epoch': 14, 'rec_avg_loss': '0.2946'}
{'epoch': 15, 'rec_avg_loss': '0.2813'}
{'epoch': 16, 'rec_avg_loss': '0.2722'}
{'epoch': 17, 'rec_avg_loss': '0.2640'}
{'epoch': 18, 'rec_avg_loss': '0.2539'}
{'epoch': 19, 'rec_avg_loss': '0.2477'}
{'epoch': 20, 'rec_avg_loss': '0.2406'}
{'epoch': 21, 'rec_avg_loss': '0.2347'}
{'epoch': 22, 'rec_avg_loss': '0.2294'}
{'epoch': 23, 'rec_avg_loss': '0.2252'}
{'epoch': 24, 'rec_avg_loss': '0.2214'}
{'epoch': 25, 'rec_avg_loss': '0.2113'}
{'epoch': 26, 'rec_avg_loss': '0.2115'}
{'epoch': 27, 'rec_avg_loss': '0.2064'}
{'epoch': 28, 'rec_avg_loss': '0.2042'}
{'epoch': 29, 'rec_avg_loss': '0.2022'}
{'epoch': 30, 'rec_avg_loss': '0.1966'}
{'epoch': 31, 'rec_avg_loss': '0.1945'}
{'epoch': 32, 'rec_avg_loss': '0.1928'}
{'epoch': 33, 'rec_avg_loss': '0.1898'}
{'epoch': 34, 'rec_avg_loss': '0.1879'}
{'epoch': 35, 'rec_avg_loss': '0.1811'}
{'epoch': 36, 'rec_avg_loss': '0.1816'}
{'epoch': 37, 'rec_avg_loss': '0.1791'}
{'epoch': 38, 'rec_avg_loss': '0.1749'}
{'epoch': 39, 'rec_avg_loss': '0.1741'}
{'epoch': 40, 'rec_avg_loss': '0.1718'}
{'epoch': 41, 'rec_avg_loss': '0.1715'}
{'epoch': 42, 'rec_avg_loss': '0.1706'}
{'epoch': 43, 'rec_avg_loss': '0.1688'}
{'epoch': 44, 'rec_avg_loss': '0.1679'}
{'epoch': 45, 'rec_avg_loss': '0.1637'}
{'epoch': 46, 'rec_avg_loss': '0.1632'}
{'epoch': 47, 'rec_avg_loss': '0.1596'}
{'epoch': 48, 'rec_avg_loss': '0.1602'}
{'epoch': 49, 'rec_avg_loss': '0.1574'}
{'epoch': 50, 'rec_avg_loss': '0.1570'}
{'epoch': 51, 'rec_avg_loss': '0.1526'}
{'epoch': 52, 'rec_avg_loss': '0.1544'}
{'epoch': 53, 'rec_avg_loss': '0.1546'}
{'epoch': 54, 'rec_avg_loss': '0.1520'}
{'epoch': 55, 'rec_avg_loss': '0.1515'}
{'epoch': 56, 'rec_avg_loss': '0.1517'}
{'epoch': 57, 'rec_avg_loss': '0.1477'}
{'epoch': 58, 'rec_avg_loss': '0.1477'}
{'epoch': 59, 'rec_avg_loss': '0.1468'}
{'epoch': 60, 'rec_avg_loss': '0.1467'}
{'epoch': 61, 'rec_avg_loss': '0.1445'}
{'epoch': 62, 'rec_avg_loss': '0.1456'}
{'epoch': 63, 'rec_avg_loss': '0.1440'}
{'epoch': 64, 'rec_avg_loss': '0.1400'}
{'epoch': 65, 'rec_avg_loss': '0.1433'}
{'epoch': 66, 'rec_avg_loss': '0.1407'}
{'epoch': 67, 'rec_avg_loss': '0.1389'}
{'epoch': 68, 'rec_avg_loss': '0.1367'}
{'epoch': 69, 'rec_avg_loss': '0.1370'}
